,,West Coast Region Rstarter Course,,,,,,,,,,
Date,Start Time (PT),End Time (PT),Course Segment,Topics,Presenter,Chat/Q&A,Funness,Jamboard,TutorialA,TutorialB,WebLinkA,WebLinkB
"Monday, January 3 - January 6, 2022",,,Prep week,"This week please download R and Rstudio.
Show Diana or Chante your dataset, and
watch the videos as an introduction to Rstudio",Self-Paced,Diana and Chante,,,,,https://www.youtube.com/watch?v=FIrsOBy5k58,https://www.youtube.com/watch?v=4vB7xp2acCs
"Tuesday, January 11, 2022",9:00 AM,10:00,Welcome!,"Introductions - roll call
Today we will cover R and Rstudio platform. ",Chante,Diana,Super,https://jamboard.google.com/d/1iG9MkTrwctBSRjCGqtahdpHAw3NWloljoNMq51gXW3E/edit?usp=sharing,,,,
"Tuesday, January 11, 2022",10:00 AM,12:00 PM,Introduction to R and R studio,,Chante (Self-Paced),Diana,Extreme,https://jamboard.google.com/d/1iG9MkTrwctBSRjCGqtahdpHAw3NWloljoNMq51gXW3E/edit?usp=sharing,https://ourcodingclub.github.io/tutorials/troubleshooting/,https://ourcodingclub.github.io/tutorials/intro-to-r/,https://www.youtube.com/watch?v=u38nMNzvhoM&list=PLJI4SWhcIx2gdco0peJg5WJGSHg8L_Al6&index=12,
"Tuesday, January 11, 2022",12:00 PM,12:30 PM,Morning Wrap Up,"""Nailed it!"" What have you learned, attempted, or acomplished ",Diana,Chante,Great,https://jamboard.google.com/d/1iG9MkTrwctBSRjCGqtahdpHAw3NWloljoNMq51gXW3E/edit?usp=sharing,,,,
"Wednesday, January 12, 2022",9:00 AM,10:00 AM,Morning Check In,,Chante,Diana,Super,https://jamboard.google.com/d/1iG9MkTrwctBSRjCGqtahdpHAw3NWloljoNMq51gXW3E/edit?usp=sharing,,,,
"Wednesday, January 12, 2022",10:00 AM,12:00 PM,Conceptual planning,"Where do I start?  Diana and I will demonstrate one method, over time you'll have your own process.  We will learn some best practices that are used by other coders as a statrting point for developing your own structure. In groups, you will practice developing an outline for your project and then begin to examine your dataset to identify what needs to be changed.",Chante,Diana,Extreme,https://jamboard.google.com/d/1iG9MkTrwctBSRjCGqtahdpHAw3NWloljoNMq51gXW3E/edit?usp=sharing,,,https://www.youtube.com/watch?v=XHAm_V-KZE8,https://www.youtube.com/watch?v=hxlHQ2AtLUk
"Wednesday, January 12, 2022",12:00 PM,12:30 PM,Morning Wrap Up,"""Nailed it!"" What have you learned, attempted, or acomplished",Diana,Chante,Great,https://jamboard.google.com/d/1iG9MkTrwctBSRjCGqtahdpHAw3NWloljoNMq51gXW3E/edit?usp=sharing,,,,
"Thursday, January 13, 2022",9:00 AM,10:00 AM,Morning Check In,,Diana,Chante,Super,https://jamboard.google.com/d/1iG9MkTrwctBSRjCGqtahdpHAw3NWloljoNMq51gXW3E/edit?usp=sharing,,,,
"Thursday, January 13, 2022",10:00 AM,12:00 PM,Data Manipulation 1,You will begin to tidy your dataset so that it will be in a format that can be easily used in R.,Diana (Self - Paced),Chante,Extreme,https://jamboard.google.com/d/1iG9MkTrwctBSRjCGqtahdpHAw3NWloljoNMq51gXW3E/edit?usp=sharing,"https://ourcodingclub.github.io/tutorials/data-manip-intro/

",,https://www.youtube.com/watch?v=oQuupzfX9OQ,https://www.youtube.com/watch?v=1ELALQlO-yM&t=0s
"Thursday, January 13, 2022",12:00 PM,12:30 PM,Morning Wrap Up,"""Nailed it!"" What have you learned, attempted, or acomplished",Chante,Diana,Great,https://jamboard.google.com/d/1iG9MkTrwctBSRjCGqtahdpHAw3NWloljoNMq51gXW3E/edit?usp=sharing,https://jamboard.google.com/d/1iG9MkTrwctBSRjCGqtahdpHAw3NWloljoNMq51gXW3E/edit?usp=sharing,,,
"Tuesday, January 18, 2022",9:00 AM,10:00 AM,Morning Check In,,Diana,Chante,Super,https://jamboard.google.com/d/1iG9MkTrwctBSRjCGqtahdpHAw3NWloljoNMq51gXW3E/edit?usp=sharing,,,,
"Tuesday, January 18, 2022",10:00 AM,12:00 PM,Data Visualization,You will work with your own dataset to try to build code that will allow you to visualize your data using some of the tools that you have learned.,Diana (Self - Paced),Chante,Extreme,https://jamboard.google.com/d/1iG9MkTrwctBSRjCGqtahdpHAw3NWloljoNMq51gXW3E/edit?usp=sharing,"https://ourcodingclub.github.io/tutorials/datavis/index.html

",,https://www.youtube.com/watch?v=HPJn1CMvtmI,https://www.youtube.com/watch?v=UK2FhxMnmjQ
"Tuesday, January 18, 2022",12:00 PM,12:30 PM,Morning Wrap Up,"""Nailed it!"" What have you learned, attempted, or acomplished",Chante,Diana,Great!,https://jamboard.google.com/d/1iG9MkTrwctBSRjCGqtahdpHAw3NWloljoNMq51gXW3E/edit?usp=sharing,,,,
"Wednesday, January 19, 2022",9:00 AM,10:00 AM,Morning Check In,,Chante,Diana,Super,https://jamboard.google.com/d/1iG9MkTrwctBSRjCGqtahdpHAw3NWloljoNMq51gXW3E/edit?usp=sharing,,,,
"Wednesday, January 19, 2022",10:00 AM,12:00 PM,Getting Started with Rmarkdown.  ,We are going to focus on preparing reproducibile documents.  You've seen several already including the class website.  Our gues presenter TBD.,Guest (Self-Paced),Diana,Extreme,https://jamboard.google.com/d/1iG9MkTrwctBSRjCGqtahdpHAw3NWloljoNMq51gXW3E/edit?usp=sharing,,,https://www.youtube.com/watch?v=MIlzQpXlJNk,https://www.youtube.com/watch?v=oFKb8WYDLB0
"Wednesday, January 19, 2022",12:00 PM,12:30 PM,Morning Wrap Up,"""Nailed it!"" What have you learned, attempted, or acomplished",Diana,Chante,Great!,https://jamboard.google.com/d/1iG9MkTrwctBSRjCGqtahdpHAw3NWloljoNMq51gXW3E/edit?usp=sharing,,,,
"Thursday, January 20, 2022",,,NOAA Focus Day,,,,Wowzer,https://jamboard.google.com/d/1iG9MkTrwctBSRjCGqtahdpHAw3NWloljoNMq51gXW3E/edit?usp=sharing,"Fun Videos for Focus Day:
",,https://www.youtube.com/watch?v=qLEkUjxk7e8,
"Friday, January 21, 2022",9:00 AM,10:00 AM,Morning check in,,Chante,Diana,Super,https://jamboard.google.com/d/1iG9MkTrwctBSRjCGqtahdpHAw3NWloljoNMq51gXW3E/edit?usp=sharing,,,,
"Friday, January 21, 2022",10:00 AM,11:30 PM,Continue R markdown,Try it!  Diana created a Markdown document using the cookie dataset.  You will take that example and build a markdown to describe your dataset.   ,Chante/Diana,TBD,Extreme,https://jamboard.google.com/d/1iG9MkTrwctBSRjCGqtahdpHAw3NWloljoNMq51gXW3E/edit?usp=sharing,https://drive.google.com/drive/folders/1CGBcV3rES9803VBUlwrgP84Uifs2FADG,,https://www.rstudio.com/resources/webinars/introducing-notebooks/,
"Friday, January 21, 2022",11:30 PM,12:30 PM,Class wrap up,What have we learned?,Chante/Diana,TBD,Great,https://jamboard.google.com/d/1iG9MkTrwctBSRjCGqtahdpHAw3NWloljoNMq51gXW3E/edit?usp=sharing,https://jamboard.google.com/d/1iG9MkTrwctBSRjCGqtahdpHAw3NWloljoNMq51gXW3E/edit?usp=sharing,,,
